group,file,path,width,height,aspect,bucket,brightness_mean,brightness_std,saturation_mean,saturation_std,edge_density,top_edge,mid_edge,bottom_edge,top_minus_mid_edge,bottom_minus_mid_edge,dominant_1,dominant_1_pct,dominant_2,dominant_2_pct,dominant_3,dominant_3_pct,palette
其他,v2-b2030800d131955eca6c9c278ea4b0e8_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-b2030800d131955eca6c9c278ea4b0e8_1440w.jpg,514,755,0.681,poster_vertical,98.88,55.51,0.371,0.19,0.0519,0.0433,0.0393,0.0739,0.004,0.0346,#1b2125,0.275,#a2685b,0.267,#5e4849,0.213,#1b2125:0.27;#a2685b:0.27;#5e4849:0.21;#c9b79b:0.12;#9f857f:0.12
其他,v2-d366c68013297d1f2c4dd4566a32bc03_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-d366c68013297d1f2c4dd4566a32bc03_1440w.jpg,600,914,0.656,poster_vertical,103.82,94.01,0.548,0.464,0.036,0.0316,0.0312,0.0299,0.0004,-0.0013,#050202,0.32,#c5031b,0.297,#e6e8e7,0.192,#050202:0.32;#c5031b:0.30;#e6e8e7:0.19;#e1e2e0:0.16;#9f565e:0.03
其他,v2-d62d6153f8ba8ed90f9ec5214d9cbff1_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-d62d6153f8ba8ed90f9ec5214d9cbff1_1440w.jpg,600,902,0.665,poster_vertical,32.91,57.33,0.339,0.342,0.0155,0.0197,0.0214,0.0004,-0.0017,-0.021,#010101,0.424,#9c6b41,0.232,#06070a,0.19,#010101:0.42;#9c6b41:0.23;#06070a:0.19;#020204:0.14;#000001:0.01
其他,v2-e2e5d7bc61930aa01561dc1a168fe168_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-e2e5d7bc61930aa01561dc1a168fe168_1440w.jpg,600,939,0.639,poster_vertical,50.71,47.02,0.429,0.159,0.0254,0.0255,0.0238,0.0377,0.0017,0.014,#8b6153,0.337,#0b0706,0.221,#060505,0.176,#8b6153:0.34;#0b0706:0.22;#060505:0.18;#160f0e:0.14;#684339:0.13
其他,v2-ef43b915ba61c35dd8edec5ab711735e_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-ef43b915ba61c35dd8edec5ab711735e_1440w.jpg,600,904,0.664,poster_vertical,231.54,33.55,0.018,0.016,0.0156,0.0185,0.0119,0.0212,0.0067,0.0094,#fffffd,0.273,#fefffa,0.273,#b3b7b7,0.219,#fffffd:0.27;#fefffa:0.27;#b3b7b7:0.22;#eaebe8:0.20;#fefefe:0.03
其他,v2-f5eef3146f2b9942b68e4a027d254b1e_1440w.jpg,C:\Users\27504\Desktop\电影海报\其他\v2-f5eef3146f2b9942b68e4a027d254b1e_1440w.jpg,600,889,0.675,poster_vertical,145.16,32.87,0.6,0.135,0.0128,0.0106,0.0098,0.017,0.0008,0.0072,#d27447,0.29,#dc9265,0.225,#b3472c,0.196,#d27447:0.29;#dc9265:0.23;#b3472c:0.20;#dea175:0.15;#dfab81:0.14
国风,0c16fd9f09d213b68db370be32f93eca.jpg,C:\Users\27504\Desktop\电影海报\国风\0c16fd9f09d213b68db370be32f93eca.jpg,236,377,0.626,poster_vertical,90.2,44.65,0.754,0.202,0.0452,0.0444,0.0386,0.0382,0.0058,-0.0004,#3a2813,0.27,#8e601b,0.244,#723a13,0.209,#3a2813:0.27;#8e601b:0.24;#723a13:0.21;#ad7925:0.20;#cc9f4e:0.08
国风,1daeaa423e19cb094e74a4d750acd3ff.jpg,C:\Users\27504\Desktop\电影海报\国风\1daeaa423e19cb094e74a4d750acd3ff.jpg,498,654,0.761,poster_vertical,100.76,57.81,0.587,0.144,0.0372,0.0475,0.0341,0.0218,0.0134,-0.0123,#2b190f,0.256,#714125,0.243,#a67146,0.211,#2b190f:0.26;#714125:0.24;#a67146:0.21;#ca9760:0.18;#dab97c:0.11
国风,1e8bba917e0c67aca8c886edb8f895e0.jpg,C:\Users\27504\Desktop\电影海报\国风\1e8bba917e0c67aca8c886edb8f895e0.jpg,500,738,0.678,poster_vertical,114.53,56.85,0.854,0.269,0.0652,0.0615,0.0557,0.0841,0.0058,0.0284,#ac710f,0.251,#d2890a,0.244,#2d1f0b,0.207,#ac710f:0.25;#d2890a:0.24;#2d1f0b:0.21;#e49407:0.17;#f09c06:0.13
国风,383c028f1311d4d0b848952da5d9176f.jpg,C:\Users\27504\Desktop\电影海报\国风\383c028f1311d4d0b848952da5d9176f.jpg,1200,1680,0.714,poster_vertical,101.22,48.92,0.496,0.203,0.0296,0.0252,0.0423,0.0188,-0.0171,-0.0235,#22323d,0.343,#9d3832,0.235,#ae816d,0.18,#22323d:0.34;#9d3832:0.23;#ae816d:0.18;#965d54:0.13;#d1b498:0.11
国风,3efeee6db0b269adacacec6f9d954992.jpg,C:\Users\27504\Desktop\电影海报\国风\3efeee6db0b269adacacec6f9d954992.jpg,1000,1474,0.678,poster_vertical,75.12,70.25,0.703,0.233,0.0303,0.0345,0.0363,0.0215,-0.0018,-0.0147,#6a4c1b,0.277,#130b04,0.218,#caae70,0.189,#6a4c1b:0.28;#130b04:0.22;#caae70:0.19;#201808:0.17;#37270d:0.15
国风,60bbd61176598273489eb0bca7fc63f1.jpg,C:\Users\27504\Desktop\电影海报\国风\60bbd61176598273489eb0bca7fc63f1.jpg,236,347,0.68,poster_vertical,118.61,69.89,0.924,0.152,0.0302,0.0239,0.0342,0.03,-0.0104,-0.0042,#fe9c03,0.329,#080405,0.263,#fb9f08,0.158,#fe9c03:0.33;#080405:0.26;#fb9f08:0.16;#ba751a:0.14;#fd9b05:0.11
国风,62d4d96fbe17ed2964b79be639c8a9fd.jpg,C:\Users\27504\Desktop\电影海报\国风\62d4d96fbe17ed2964b79be639c8a9fd.jpg,843,872,0.967,square_near,146.6,74.43,0.104,0.131,0.0611,0.0299,0.0592,0.0849,-0.0293,0.0257,#6c6c6e,0.272,#3d3d40,0.241,#b4b3ae,0.187,#6c6c6e:0.27;#3d3d40:0.24;#b4b3ae:0.19;#e7e7e8:0.17;#f6f6f6:0.13
国风,64277578b489d3b79552ac50c3c8d7dc.jpg,C:\Users\27504\Desktop\电影海报\国风\64277578b489d3b79552ac50c3c8d7dc.jpg,1055,1563,0.675,poster_vertical,93.8,41.3,0.345,0.17,0.0418,0.0442,0.0431,0.0438,0.0011,0.0007,#39525d,0.287,#4e6b77,0.222,#25363f,0.217,#39525d:0.29;#4e6b77:0.22;#25363f:0.22;#6c878d:0.16;#9faba8:0.12
国风,668db0e8977500fa336f8dae2fed22f7.jpg,C:\Users\27504\Desktop\电影海报\国风\668db0e8977500fa336f8dae2fed22f7.jpg,736,1104,0.667,poster_vertical,55.36,60.28,0.428,0.275,0.0717,0.0708,0.0766,0.0587,-0.0058,-0.018,#030303,0.292,#17140f,0.23,#4a3b27,0.204,#030303:0.29;#17140f:0.23;#4a3b27:0.20;#886c42:0.17;#bca164:0.11
